Random,Random,Random,Random,First,First,First,First,Degree,Degree,Degree,Degree,Normal,Normal,Normal,Normal,Sugar,Sugar,Sugar,Sugar,Difficulty,Difficulty
zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,zeroReductions,nonzeroReductions,polynomialAdditions,monomialAdditions,time (seconds),generators
17,12,76,121,11,8,54,90,11,7,59,97,11,7,55,91,11,7,55,91,.000269762,11
9,6,45,78,9,5,43,69,8,3,37,59,8,3,37,59,8,3,37,59,.0002101,8
22,18,88,141,13,14,60,95,9,5,44,70,9,5,34,51,9,5,34,51,.000222756,9
17,11,94,156,16,8,81,132,14,8,68,108,14,8,68,110,14,8,68,110,.000253188,13
22,18,97,160,14,13,54,87,11,10,46,74,12,10,50,79,12,10,50,79,.000266605,14
14,8,71,122,17,9,65,102,11,5,48,78,11,5,58,98,11,5,58,98,.000252726,10
11,9,53,85,13,13,62,100,9,4,40,63,9,4,40,63,9,4,40,63,.000303395,8
12,9,44,69,11,7,40,65,9,6,31,45,9,6,31,45,9,6,31,45,.000222635,10
14,7,46,73,10,7,40,68,9,4,38,64,9,4,38,64,9,4,38,64,.000224731,9
17,13,60,91,12,8,57,92,12,7,57,92,12,7,58,91,12,7,58,91,.000245849,12
21,13,139,254,18,9,117,210,14,7,101,187,14,7,97,173,14,7,97,173,.000262609,12
7,7,38,66,7,6,35,56,7,5,34,55,7,5,31,48,7,5,31,48,.000217625,9
10,4,47,80,8,3,41,73,8,3,42,74,8,3,41,73,8,3,41,73,.000213518,8
26,18,118,199,13,11,63,107,13,8,68,120,12,8,65,115,12,8,65,115,.000256629,13
13,7,98,174,11,6,84,148,11,4,84,146,11,4,84,149,11,4,84,149,.000235787,9
15,10,80,137,14,8,78,132,12,6,80,139,12,6,67,110,12,6,67,110,.000342502,11
14,12,72,122,7,8,32,48,7,5,31,50,7,5,37,61,7,5,37,61,.000223787,8
10,7,53,95,9,5,55,101,9,4,55,101,9,4,55,101,9,4,55,101,.000227089,8
15,9,87,145,13,7,76,126,13,6,75,122,13,6,82,138,13,6,82,138,.000316304,11
13,11,54,87,10,8,43,72,9,5,45,81,9,5,45,81,9,5,45,81,.000311206,9
19,16,85,139,13,9,62,101,11,9,61,100,11,9,62,102,11,9,62,102,.000325437,13
11,7,63,109,10,8,56,100,10,5,60,105,10,5,59,104,10,5,59,104,.000251768,10
22,16,122,208,18,13,95,168,14,9,94,175,14,9,86,156,14,9,86,156,.00026565,13
15,11,49,68,14,9,45,67,12,7,40,58,12,7,43,63,12,7,43,63,.000267855,12
18,12,101,173,16,11,92,154,12,8,67,111,12,8,69,119,12,8,69,119,.000257665,13
10,5,48,83,8,5,44,80,8,3,42,72,8,3,42,72,8,3,42,72,.000207205,7
24,17,108,176,16,17,101,180,12,6,81,145,12,6,81,145,12,6,81,145,.000367048,10
26,19,119,194,18,14,86,138,15,11,69,109,15,11,55,77,15,11,55,77,.000366079,15
29,25,134,221,14,15,75,130,10,8,65,116,10,8,54,93,10,8,54,93,.000235761,11
15,10,95,162,8,7,75,139,8,4,76,141,8,4,67,121,8,4,67,121,.000288714,8
11,9,52,89,11,11,56,101,9,6,48,83,9,6,51,92,9,6,51,92,.000245858,10
5,1,17,25,5,2,17,27,5,1,17,25,5,1,17,25,5,1,17,25,.000239624,5
8,5,36,62,10,5,42,72,8,4,37,62,8,4,33,54,8,4,33,54,.00023374,7
8,5,52,89,8,4,49,85,8,3,45,77,8,3,45,77,8,3,45,77,.000214438,7
14,13,62,98,13,11,59,95,13,9,60,98,13,9,51,78,13,9,51,78,.000329688,13
9,6,31,45,9,7,29,42,9,5,27,37,9,5,32,46,9,5,32,46,.000241087,9
16,14,83,146,13,9,57,93,12,8,53,85,12,8,49,78,12,8,49,78,.000247424,12
11,7,46,70,12,8,55,86,10,4,47,75,10,4,44,68,10,4,44,68,.000223741,9
14,10,59,94,11,8,54,93,11,7,54,93,11,7,46,72,11,7,46,72,.000250834,12
14,8,48,66,9,6,38,56,9,5,37,55,9,5,34,50,9,5,34,50,.000228108,10
11,6,41,64,10,7,36,55,10,6,35,53,10,6,43,69,10,6,43,69,.000237621,11
10,10,45,70,10,8,57,94,10,6,55,89,10,6,44,68,10,6,44,68,.000303265,10
10,6,42,69,8,3,30,44,7,2,26,38,7,2,26,38,7,2,26,38,.000200487,6
24,15,94,154,15,12,71,116,12,7,51,82,12,7,51,85,12,7,51,85,.000244378,11
12,9,53,90,7,6,34,55,7,5,34,55,7,5,37,61,7,5,37,61,.000225456,8
10,5,37,55,11,7,34,49,10,4,29,39,10,4,29,39,10,4,29,39,.000212183,8
14,9,93,169,12,8,98,182,11,5,87,157,11,5,87,155,11,5,87,155,.000233931,10
10,7,60,103,8,5,46,77,8,4,46,77,8,4,46,77,8,4,46,77,.000234407,8
13,10,54,85,7,6,34,55,7,4,23,32,7,4,23,32,7,4,23,32,.000203141,7
17,10,104,177,15,10,80,130,14,8,72,117,14,8,69,113,14,8,69,113,.000259757,13
18,14,97,164,10,8,49,82,10,6,52,88,10,6,52,88,10,6,52,88,.0002377,11
11,5,55,93,9,6,43,70,9,4,42,66,9,4,42,68,9,4,42,68,.000227289,9
10,8,23,27,12,10,36,49,10,7,23,27,10,7,23,27,10,7,23,27,.000219232,11
15,10,58,95,12,8,47,73,12,8,47,73,12,8,49,81,12,8,49,81,.000275415,13
25,17,90,138,24,16,93,139,13,10,64,107,13,10,57,90,13,10,57,90,.000257127,14
18,13,76,131,12,11,60,100,8,5,37,58,8,5,47,79,8,5,47,79,.000244985,9
9,7,26,35,7,4,20,28,6,3,18,24,6,3,22,32,6,3,22,32,.000195873,5
16,11,61,97,9,7,46,80,9,6,47,82,9,6,47,82,9,6,47,82,.00046291,10
20,9,85,140,13,8,67,113,11,5,57,96,11,5,57,96,11,5,57,96,.000251088,10
13,9,63,106,9,4,52,91,9,4,52,91,9,4,52,91,9,4,52,91,.000238294,8
18,13,77,125,13,9,63,103,12,7,57,95,12,7,51,82,12,7,51,82,.000245855,11
17,12,89,152,14,9,72,120,14,9,70,117,14,9,74,133,14,9,74,133,.000350085,14
23,17,74,106,14,12,64,104,14,11,64,102,14,11,51,72,14,11,51,72,.000355478,16
19,12,77,123,12,10,50,75,12,7,44,63,12,7,42,60,12,7,42,60,.000254475,12
15,11,71,113,13,11,64,101,12,8,57,89,12,8,74,124,12,8,74,124,.000267324,13
11,7,56,95,11,7,66,119,9,5,49,84,9,5,49,84,9,5,49,84,.000220987,9
17,11,77,122,16,11,78,127,11,7,54,88,11,7,60,102,11,7,60,102,.000243822,12
16,9,66,104,10,8,44,70,11,6,44,68,11,6,49,78,11,6,49,78,.000225781,11
18,20,85,145,14,12,53,86,10,7,42,67,10,7,41,63,10,7,41,63,.000235353,11
18,10,69,108,12,10,59,99,12,6,58,94,12,6,58,94,12,6,58,94,.000243304,11
18,11,82,130,11,8,48,76,11,7,48,76,11,7,45,70,11,7,45,70,.000240491,12
16,11,70,111,15,8,67,104,11,5,58,94,11,5,49,78,11,5,49,78,.000239067,10
16,10,79,132,15,12,79,138,13,9,69,120,13,9,60,95,13,9,60,95,.000302938,13
16,16,102,179,14,17,84,146,11,8,64,107,11,8,66,112,11,8,66,112,.000248704,12
18,15,72,118,16,13,66,106,11,7,48,77,11,7,44,70,11,7,44,70,.000252782,12
14,9,61,94,12,10,56,89,11,6,46,70,11,6,48,74,11,6,48,74,.000233348,11
21,18,79,120,9,8,49,82,9,6,49,84,9,6,43,72,9,6,43,72,.000295687,8
10,6,44,75,9,5,36,58,9,4,30,46,9,4,30,46,9,4,30,46,.000217147,8
15,7,65,108,16,8,76,129,11,7,54,91,11,7,55,91,11,7,55,91,.00031847,10
8,6,39,66,8,5,42,72,8,5,42,72,8,5,42,72,8,5,42,72,.000243986,9
19,14,99,172,16,11,92,159,11,7,62,104,11,7,63,107,11,7,63,107,.000242321,11
12,8,70,119,10,7,59,98,10,5,51,84,10,5,51,84,10,5,51,84,.000233412,9
